gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4856414431,1,15,0,1,15,12,18,0,0,0,0,33670,9.0,40000,6,0,15170,16000,0.6,3367.0,1,0,0,7,10,3,0,0,0,0,18500,5.4,24000,0,0,-15170,-16000,0.0,1850.0
4856393837,1,292,3,1,18,17,20,0,0,0,0,47864,10.0,47500,1,0,19426,19000,0.1,4786.4,118,0,0,8,9,6,0,0,0,0,28438,6.0,28500,7,0,-19426,-19000,0.7,2843.8
4856362453,1,0,0,0,14,22,10,0,0,0,0,46916,10.0,47500,0,0,17666,19000,0.0,4691.6,0,0,1,13,5,14,0,0,0,0,29250,6.0,28500,0,0,-17666,-19000,0.0,2925.0
4856334686,1,0,0,1,15,14,19,0,0,0,0,48135,10.6,50500,1,0,20960,22000,0.1,4813.5,0,0,0,10,11,7,0,0,0,0,27175,6.0,28500,0,0,-20960,-22000,0.0,2717.5
4856301648,1,0,0,0,18,19,20,0,0,0,0,63050,12.0,55000,0,0,24800,22000,0.0,6305.0,0,0,1,10,9,12,0,0,0,0,38250,7.2,33000,0,0,-24800,-22000,0.0,3825.0
4855198934,1,0,0,0,14,20,14,0,0,0,0,46424,10.0,47500,0,0,17480,19000,0.0,4642.4,0,0,1,11,5,12,0,0,0,0,28944,6.0,28500,0,0,-17480,-19000,0.0,2894.4
4855168560,1,3,0,0,12,25,17,0,0,0,0,62000,12.6,59500,16,0,22700,22000,1.6,6200.0,13,0,1,19,6,16,0,0,0,0,39300,7.8,37500,9,0,-22700,-22000,0.9,3930.0
4855149891,1,29,1,1,18,13,14,0,0,0,0,46910,10.0,47500,1,0,19385,19000,0.1,4691.0,0,0,0,8,13,9,0,0,0,0,27525,6.0,28500,1,0,-19385,-19000,0.1,2752.5
4855117025,1,246,1,0,18,18,18,0,0,0,0,56255,12.0,55000,8,0,18945,22000,0.8,5625.5,176,2,1,10,10,12,0,0,0,0,37310,7.2,33000,2,0,-18945,-22000,0.2,3731.0
4854380949,1,176,0,1,18,22,14,0,0,0,0,62400,12.8,59000,2,0,21150,26000,0.2,6240.0,176,0,0,11,7,10,0,0,0,0,41250,7.2,33000,0,0,-21150,-26000,0.0,4125.0
4854371130,1,27,2,0,20,21,15,0,0,0,0,48435,10.0,47500,1,0,19595,19000,0.1,4843.5,0,6,1,10,9,12,0,0,0,0,28840,6.0,28500,0,0,-19595,-19000,0.0,2884.0
4854359585,1,0,0,0,17,17,19,0,0,0,0,47393,10.0,47500,2,0,17126,19000,0.2,4739.3,0,0,1,12,12,10,0,0,0,0,30267,6.0,28500,2,0,-17126,-19000,0.2,3026.7
4854351354,1,58,0,0,16,17,20,0,0,0,0,62609,12.8,61000,0,0,26103,25000,0.0,6260.9,2,0,1,11,10,10,0,0,0,0,36506,7.6,36000,0,0,-26103,-25000,0.0,3650.6
4854344890,1,0,3,1,21,16,25,0,0,0,0,64285,12.0,55000,2,0,27560,22000,0.2,6428.5,35,0,0,10,15,10,0,0,0,0,36725,7.2,33000,7,0,-27560,-22000,0.7,3672.5
4854321654,1,6,1,0,10,13,9,0,0,0,0,45255,10.0,47500,0,0,17270,19000,0.0,4525.5,29,2,1,10,7,8,0,0,0,0,27985,6.0,28500,5,0,-17270,-19000,0.5,2798.5
4854308580,1,252,0,0,15,15,12,0,0,0,0,48470,10.0,47500,0,0,20575,17820,0.0,4847.0,36,0,1,8,8,10,0,0,0,0,27895,6.2,29680,0,0,-20575,-17820,0.0,2789.5
4854299343,1,6,0,0,20,13,22,0,0,0,0,46300,10.0,47500,0,0,18800,19000,0.0,4630.0,0,0,1,6,13,5,0,0,0,0,27500,6.0,28500,0,0,-18800,-19000,0.0,2750.0
4854284882,1,0,0,1,21,13,19,0,0,0,0,53847,12.0,55000,0,0,22607,22000,0.0,5384.7,0,0,0,6,14,6,0,0,0,0,31240,7.2,33000,0,0,-22607,-22000,0.0,3124.0
4854259637,1,0,0,1,24,17,18,0,0,0,0,65225,12.0,55000,0,0,27598,22000,0.0,6522.5,0,0,0,6,13,11,0,0,0,0,37627,7.2,33000,1,0,-27598,-22000,0.1,3762.7
4854247818,1,3,0,0,11,19,8,0,0,0,0,30950,10.0,47500,0,0,10675,19000,0.0,3095.0,0,0,1,12,4,13,0,0,0,0,20275,6.0,28500,1,0,-10675,-19000,0.1,2027.5
4840882530,0,16,0,1,6,4,6,1,1,0,0,16287,6.8,18388,213,56,516,578,26.9,1628.7,14,0,0,4,6,3,0,0,0,0,15771,7.0,17810,168,60,-516,-578,22.8,1577.1
4840163975,1,102,3,1,6,4,4,0,0,0,0,16480,7.0,17909,231,56,937,-141,28.7,1648.0,10,15,0,4,6,3,0,0,0,0,15543,6.8,18050,174,56,-937,141,23.0,1554.3
4840113632,0,45,0,0,0,2,0,0,0,0,0,14609,7.0,17802,208,56,-117,-192,26.4,1460.9,15,0,1,2,0,0,2,1,1,0,14726,6.8,17994,212,46,117,192,25.8,1472.6
4839851610,0,8,1,1,7,6,6,1,0,1,0,17502,7.2,18859,199,60,1120,1089,25.9,1750.2,16,0,0,6,7,4,0,0,0,0,16382,6.8,17770,195,52,-1120,-1089,24.7,1638.2
4839823271,1,10,1,0,5,4,0,2,1,1,0,15259,7.0,18558,207,60,759,949,26.7,1525.9,12,1,1,4,5,3,0,0,0,0,14500,6.8,17609,188,52,-759,-949,24.0,1450.0
4839789947,1,11,0,1,4,3,1,0,0,0,0,14203,7.0,18286,210,48,-651,847,25.8,1420.3,12,2,0,2,3,2,0,0,0,0,14854,6.8,17439,177,68,651,-847,24.5,1485.4
4839303688,0,67,0,0,12,21,27,0,0,0,1,32937,10.4,35523,87,0,-2295,-3055,8.7,3293.7,2,0,1,21,12,45,0,0,0,0,35232,10.8,38578,85,0,2295,3055,8.5,3523.2
