gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4853516961,1,48,1,1,8,6,4,1,0,1,0,17033,6.8,17820,210,48,660,-144,25.8,1703.3,16,0,0,5,7,5,0,0,0,0,16373,6.8,17964,221,60,-660,144,28.1,1637.3
4853468337,1,14,1,0,5,8,9,0,0,0,0,15989,6.4,16540,200,40,-2129,-2955,24.0,1598.9,13,4,1,8,5,7,0,0,0,0,18118,7.2,19495,215,60,2129,2955,27.5,1811.8
4853371725,1,14,2,0,2,2,2,0,0,0,0,15887,7.2,18651,257,71,1173,1464,32.8,1588.7,12,2,1,2,2,3,2,1,1,0,14714,6.6,17187,233,44,-1173,-1464,27.7,1471.4
4853352285,1,14,2,1,4,1,3,1,0,1,0,15681,6.6,17292,232,56,277,-638,28.8,1568.1,15,0,0,1,4,0,0,0,0,0,15404,6.8,17930,215,48,-277,638,26.3,1540.4
4852628799,0,14,1,1,4,3,4,1,1,0,0,17908,7.0,18900,250,66,1729,822,31.6,1790.8,12,1,0,3,4,4,0,0,0,0,16179,6.8,18078,224,56,-1729,-822,28.0,1617.9
4852526838,0,12,0,0,2,9,1,0,0,0,0,15465,7.0,17362,220,51,-2707,-2056,27.1,1546.5,10,0,1,9,2,6,0,0,0,0,18172,7.2,19418,223,59,2707,2056,28.2,1817.2
4852482342,1,16,1,1,2,2,2,0,0,0,0,16858,7.2,19788,258,74,1599,1664,33.2,1685.8,21,3,0,2,2,2,0,0,0,0,15259,6.8,18124,246,55,-1599,-1664,30.1,1525.9
4851757457,1,53,1,0,4,7,5,0,0,0,0,16641,7.0,17840,198,56,-673,325,25.4,1664.1,12,1,1,7,4,7,0,0,0,0,17314,6.8,17515,233,39,673,-325,27.2,1731.4
4851701123,0,13,2,1,3,7,3,0,0,0,0,14927,6.8,17046,211,52,-3246,-814,26.3,1492.7,15,1,0,7,3,11,0,0,0,0,18173,6.8,17860,240,56,3246,814,29.6,1817.3
4851657510,1,13,3,1,7,4,6,1,1,0,0,17222,7.0,17908,226,55,1324,437,28.1,1722.2,7,2,0,3,6,2,0,0,0,0,15898,6.8,17471,218,48,-1324,-437,26.6,1589.8
4851607429,1,16,1,0,3,9,1,0,0,0,0,16135,7.0,17526,220,52,-2763,-945,27.2,1613.5,16,1,1,9,3,10,0,0,0,0,18898,7.2,18471,215,60,2763,945,27.5,1889.8
4850788779,0,14,0,0,2,3,1,0,0,0,0,15947,7.0,18604,212,76,-148,-549,28.8,1594.7,15,0,1,3,2,3,1,1,0,0,16095,7.0,19153,223,56,148,549,27.9,1609.5
4850742601,0,14,5,0,4,7,2,0,0,0,0,14631,6.6,16567,198,47,-1524,196,24.5,1463.1,26,5,1,7,4,10,1,1,0,0,16155,6.4,16371,202,48,1524,-196,25.0,1615.5
4850702990,0,22,1,1,3,9,3,0,0,0,0,17308,7.0,18041,248,53,-1380,-949,30.1,1730.8,11,1,0,9,3,11,1,1,0,0,18688,7.2,18990,213,60,1380,949,27.3,1868.8
4850597265,1,18,0,1,11,3,11,2,1,1,0,19436,7.6,19924,214,67,4073,2563,28.1,1943.6,12,3,0,3,11,1,0,0,0,0,15363,7.0,17361,223,53,-4073,-2563,27.6,1536.3
4850571271,1,14,2,1,6,6,7,1,1,0,0,16756,6.6,17892,236,60,69,-105,29.6,1675.6,13,1,0,6,6,6,1,0,1,0,16687,6.8,17997,212,68,-69,105,28.0,1668.7
4849919237,1,14,1,0,8,2,7,0,0,0,0,17793,7.2,19564,242,60,3228,3212,30.2,1779.3,14,3,1,2,8,2,1,1,0,0,14565,6.8,16352,199,44,-3228,-3212,24.3,1456.5
4849878532,1,13,2,0,2,3,2,0,0,0,0,16100,7.2,19811,251,76,-165,1213,32.7,1610.0,24,3,1,3,2,4,1,1,0,0,16265,7.2,18598,250,60,165,-1213,31.0,1626.5
4849837723,0,9,0,0,5,9,5,0,0,0,0,17789,7.2,18689,243,60,-781,-1387,30.3,1778.9,11,0,1,9,5,6,1,0,1,0,18570,7.2,20076,235,60,781,1387,29.5,1857.0
4849811132,1,115,3,1,5,4,10,1,1,0,0,17452,7.2,18351,220,56,1049,-206,27.6,1745.2,13,2,0,4,5,4,0,0,0,0,16403,7.0,18557,238,52,-1049,206,29.0,1640.3
4851511117,0,34,2,1,6,5,4,0,0,0,0,16355,6.8,17698,187,66,-1641,-880,25.3,1635.5,37,2,0,5,6,5,1,1,0,0,17996,7.0,18578,245,61,1641,880,30.6,1799.6
4839962060,0,12,0,1,5,6,6,0,0,0,0,16383,6.6,16118,171,56,-1287,-3221,22.7,1638.3,10,2,0,6,5,2,1,1,0,0,17670,7.2,19339,231,75,1287,3221,30.6,1767.0
4838585371,1,24,3,1,7,9,3,0,0,0,0,16591,6.8,17323,221,64,-1324,432,28.5,1659.1,13,1,0,9,7,8,1,1,0,0,17915,6.8,16891,221,52,1324,-432,27.3,1791.5
4837397804,0,19,0,0,7,7,9,0,0,0,0,17448,6.8,17955,237,55,-493,-63,29.2,1744.8,13,0,1,7,7,6,1,1,0,0,17941,6.8,18018,224,76,493,63,30.0,1794.1
4836593643,0,15,1,0,1,8,2,0,0,0,0,14000,6.2,15564,199,59,-4084,-1975,25.8,1400.0,11,0,1,8,1,8,1,1,0,0,18084,6.8,17539,246,52,4084,1975,29.8,1808.4
4835714482,1,21,4,1,10,4,19,1,1,0,0,19502,6.8,17441,226,48,3334,-480,27.4,1950.2,11,2,0,4,10,3,0,0,0,0,16168,7.0,17921,224,63,-3334,480,28.7,1616.8
4834995199,0,15,1,0,6,9,1,0,0,0,0,15639,7.0,18457,183,68,-2230,588,25.1,1563.9,13,3,1,9,6,3,1,1,0,0,17869,7.0,17869,199,44,2230,-588,24.3,1786.9
4834208957,0,19,0,0,7,11,3,0,0,0,0,16950,6.8,17552,198,60,-1863,-649,25.8,1695.0,14,1,1,10,6,10,1,1,0,0,18813,6.8,18201,213,56,1863,649,26.9,1881.3
4833850117,0,22,1,0,8,5,7,0,0,0,0,16645,6.8,17578,203,44,-177,-49,24.7,1664.5,33,1,1,5,8,4,0,0,0,0,16822,6.8,17627,217,57,177,49,27.4,1682.2
4831760530,1,13,1,0,3,1,3,1,0,1,0,15929,7.0,18659,239,52,335,588,29.1,1592.9,15,1,1,1,3,0,1,1,0,0,15594,6.8,18071,217,72,-335,-588,28.9,1559.4
4831747338,1,11,2,0,3,4,2,0,0,0,0,16270,7.4,19188,252,72,168,1861,32.4,1627.0,20,1,1,4,3,5,1,1,0,0,16102,6.8,17327,228,52,-168,-1861,28.0,1610.2
4831447775,1,14,1,1,6,2,8,1,1,0,0,17159,7.0,18792,209,66,1904,1188,27.5,1715.9,16,1,0,2,6,5,0,0,0,0,15255,6.8,17604,241,60,-1904,-1188,30.1,1525.5
4822080376,1,17,1,0,7,6,4,0,0,0,0,17487,7.4,19296,216,64,1437,1933,28.0,1748.7,11,0,1,6,7,3,0,0,0,0,16050,6.6,17363,207,52,-1437,-1933,25.9,1605.0
4822050801,0,13,2,0,6,9,6,0,0,0,0,17127,6.6,17040,211,36,-766,-1455,24.7,1712.7,16,1,1,9,6,5,0,0,0,0,17893,7.0,18495,232,60,766,1455,29.2,1789.3
4822001070,1,22,2,1,8,3,5,1,1,0,0,18226,7.0,19094,227,48,3685,2770,27.5,1822.6,13,1,0,3,8,3,0,0,0,0,14541,6.4,16324,186,47,-3685,-2770,23.3,1454.1
4819805670,0,11,3,1,4,7,3,1,0,1,0,15434,7.0,17750,191,56,-1750,-546,24.7,1543.4,20,4,0,7,4,6,1,1,0,0,17184,6.8,18296,247,60,1750,546,30.7,1718.4
4819684629,0,8,2,1,6,10,7,0,0,0,0,17595,6.8,17370,193,56,-3224,-359,24.9,1759.5,20,1,0,10,6,10,0,0,0,0,20819,7.0,17729,226,44,3224,359,27.0,2081.9
4817969177,0,11,0,0,2,8,1,0,0,0,0,15221,6.4,16864,222,64,-4563,-2854,28.6,1522.1,24,0,1,8,2,8,2,1,1,0,19784,7.2,19718,249,75,4563,2854,32.4,1978.4
4817898670,1,55,3,0,7,5,9,1,1,0,0,18180,7.2,19079,212,60,1173,2011,27.2,1818.0,17,4,1,5,7,10,0,0,0,0,17007,6.6,17068,219,52,-1173,-2011,27.1,1700.7
4855289716,1,0,0,0,15,17,20,0,0,0,0,59189,12.0,55000,0,0,22315,20000,0.0,5918.9,89,0,1,11,9,8,0,0,0,0,36874,7.6,35000,0,0,-22315,-20000,0.0,3687.4
4855261793,1,34,0,1,12,6,10,0,0,0,0,21167,7.2,18554,195,64,5612,1868,25.9,2116.7,29,3,0,6,12,6,0,0,0,0,15555,6.6,16686,159,60,-5612,-1868,21.9,1555.5
4855044906,0,0,0,1,30,27,77,0,0,0,0,39685,11.4,43920,104,0,517,2773,10.4,3968.5,7,0,0,27,30,81,0,0,0,0,39168,11.2,41147,116,0,-517,-2773,11.6,3916.8
4855005527,1,0,0,1,24,14,50,0,0,0,1,38726,11.0,41720,97,0,3795,4303,9.7,3872.6,0,0,0,14,24,36,0,0,0,0,34931,10.6,37417,104,0,-3795,-4303,10.4,3493.1
4854920123,1,0,0,0,15,17,16,0,0,0,0,50285,10.0,47500,3,0,22765,19000,0.3,5028.5,0,0,1,11,9,11,0,0,0,0,27520,6.0,28500,0,0,-22765,-19000,0.0,2752.0
4854899023,1,1,0,0,14,19,19,0,0,0,0,61300,12.0,55000,0,0,22700,22000,0.0,6130.0,0,0,1,13,8,9,0,0,0,0,38600,7.2,33000,0,0,-22700,-22000,0.0,3860.0
4854882835,1,24,0,1,18,9,19,0,0,0,0,47550,10.0,47500,1,0,21060,19000,0.1,4755.0,11,0,0,5,14,2,0,0,0,0,26490,6.0,28500,1,0,-21060,-19000,0.1,2649.0
4854843893,0,9,2,1,4,3,3,1,1,0,0,16110,6.8,17361,204,44,92,-1572,24.8,1611.0,13,1,0,3,4,3,0,0,0,0,16018,7.0,18933,229,56,-92,1572,28.5,1601.8
4854817798,1,12,2,0,8,9,5,0,0,0,0,16337,6.8,16926,154,48,-2281,-1394,20.2,1633.7,15,0,1,9,8,5,0,0,0,0,18618,7.0,18320,192,54,2281,1394,24.6,1861.8
4854781871,0,51,0,0,6,9,7,0,0,0,0,16263,6.8,16598,175,56,-2867,-1860,23.1,1626.3,9,0,1,9,6,3,1,1,0,0,19130,6.8,18458,176,55,2867,1860,23.1,1913.0
4852608162,1,16,1,0,4,6,3,0,0,0,0,15546,6.6,17063,207,47,-1011,-2089,25.4,1554.6,11,0,1,6,4,2,0,0,0,0,16557,7.2,19152,191,64,1011,2089,25.5,1655.7
4852580083,0,47,8,0,2,9,2,0,0,0,0,13671,6.8,17010,144,56,-4604,-2649,20.0,1367.1,32,1,1,9,2,11,1,1,0,0,18275,7.4,19659,241,56,4604,2649,29.7,1827.5
4852556932,0,9,1,0,0,7,0,0,0,0,0,13066,6.8,17015,171,57,-5086,-2351,22.8,1306.6,7,2,1,7,0,3,0,0,0,0,18152,7.2,19366,234,58,5086,2351,29.2,1815.2
