gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4763481377,0,18,1,0,5,4,4,0,0,0,0,16058,7.2,18042,229,48,681,412,27.7,1605.8,13,4,1,4,5,2,1,1,0,0,15377,6.8,17630,215,59,-681,-412,27.4,1537.7
4763458058,1,23,2,1,12,3,12,1,1,0,0,20112,6.8,18245,220,36,4704,2740,25.6,2011.2,10,0,0,3,12,2,1,0,1,0,15408,6.2,15505,167,58,-4704,-2740,22.5,1540.8
4760478999,0,12,1,1,2,3,0,0,0,0,0,15152,6.8,17154,247,56,-1886,-604,30.3,1515.2,14,2,0,3,2,6,0,0,0,0,17038,6.8,17758,204,61,1886,604,26.5,1703.8
4759685038,0,10,2,0,4,5,4,0,0,0,0,17484,7.0,18880,240,73,1907,986,31.3,1748.4,14,2,1,5,4,9,0,0,0,0,15577,6.6,17894,213,54,-1907,-986,26.7,1557.7
4759645009,0,15,0,1,9,3,10,0,0,0,0,18581,7.0,18274,239,40,3942,1814,27.9,1858.1,11,3,0,3,9,3,1,1,0,0,14639,6.6,16460,208,62,-3942,-1814,27.0,1463.9
4759014068,1,11,0,0,6,5,6,1,1,0,0,16994,6.8,18359,225,60,-7,857,28.5,1699.4,10,0,1,5,6,7,0,0,0,0,17001,7.0,17502,232,52,7,-857,28.4,1700.1
4750082621,1,9,1,0,7,5,4,1,1,0,0,17226,7.2,18830,226,68,56,-374,29.4,1722.6,11,0,1,5,7,4,0,0,0,0,17170,7.0,19204,245,60,-56,374,30.5,1717.0
4750046042,1,10,2,1,7,3,12,1,1,0,0,17516,7.0,18274,218,59,2796,124,27.7,1751.6,225,1,0,3,7,0,1,0,1,0,14720,7.0,18150,216,60,-2796,-124,27.6,1472.0
4750004644,0,15,0,1,7,4,7,0,0,0,0,16747,6.8,17322,202,57,894,-752,25.9,1674.7,12,3,0,4,7,5,1,1,0,0,15853,7.0,18074,226,64,-894,752,29.0,1585.3
4749984799,0,16,2,0,2,8,2,0,0,0,0,15146,6.6,17702,227,52,-2613,-928,27.9,1514.6,12,5,1,8,2,11,1,1,0,0,17759,7.0,18630,218,52,2613,928,27.0,1775.9
4748305445,0,13,2,1,3,6,3,0,0,0,0,15359,6.8,17085,239,52,-2247,-1374,29.1,1535.9,15,4,0,6,3,8,1,1,0,0,17606,7.2,18459,212,71,2247,1374,28.3,1760.6
4748262730,0,34,3,1,5,7,6,0,0,0,0,15213,6.6,16601,202,55,-1975,-1897,25.7,1521.3,12,3,0,7,5,3,0,0,0,0,17188,7.2,18498,224,58,1975,1897,28.2,1718.8
4747406887,0,48,1,0,4,4,3,0,0,0,0,15217,7.2,18701,224,48,-1836,325,27.2,1521.7,9,1,1,4,4,4,1,0,1,0,17053,7.0,18376,229,60,1836,-325,28.9,1705.3
