gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4856946700,1,76,2,0,4,7,2,0,0,0,0,16833,6.8,17971,200,52,-860,-1183,25.2,1683.3,32,2,1,7,4,7,1,1,0,0,17693,7.2,19154,207,56,860,1183,26.3,1769.3
4856926921,0,14,0,0,3,5,4,0,0,0,0,15496,6.4,16973,204,60,-957,-719,26.4,1549.6,9,0,1,5,3,6,0,0,0,0,16453,6.8,17692,215,52,957,719,26.7,1645.3
4854833098,0,12,2,0,7,8,6,1,0,1,0,17778,6.8,17562,206,44,286,-104,25.0,1777.8,12,1,1,8,7,4,1,1,0,0,17492,7.0,17666,204,60,-286,104,26.4,1749.2
4854793671,0,15,1,1,4,4,1,0,0,0,0,15366,6.8,18017,218,40,-277,156,25.8,1536.6,7,2,0,4,4,5,0,0,0,0,15643,6.8,17861,193,68,277,-156,26.1,1564.3
4854070870,1,9,1,1,5,6,2,0,0,0,0,16460,6.6,17654,208,40,1281,479,24.8,1646.0,7,0,0,6,5,2,0,0,0,0,15179,6.6,17175,159,40,-1281,-479,19.9,1517.9
4854023319,0,8,0,0,2,4,2,0,0,0,0,12825,6.8,17183,149,36,-3800,-1859,18.5,1282.5,8,0,1,4,2,2,0,0,0,0,16625,7.2,19042,238,50,3800,1859,28.8,1662.5
4853979302,0,10,0,0,3,6,7,1,1,0,0,14225,6.4,16394,191,40,-2460,-1974,23.1,1422.5,9,1,1,6,3,6,0,0,0,0,16685,7.0,18368,201,56,2460,1974,25.7,1668.5
4851451006,0,337,0,0,20,25,37,0,0,0,0,36090,11.0,39665,121,0,-1191,-1525,12.1,3609.0,0,0,1,25,20,58,0,0,0,0,37281,11.0,41190,117,0,1191,1525,11.7,3728.1
4850582496,1,87,0,1,14,15,34,0,0,0,0,33964,10.6,36404,121,0,-978,-91,12.1,3396.4,0,0,0,15,14,39,0,0,0,0,34942,10.6,36495,111,0,978,91,11.1,3494.2
4850569018,0,0,0,0,34,25,100,0,0,0,1,40816,12.0,45707,104,0,2034,2426,10.4,4081.6,3,0,1,25,34,52,0,0,0,0,38782,11.6,43281,110,0,-2034,-2426,11.0,3878.2
4850552147,0,0,0,0,20,26,42,0,0,0,1,35784,10.8,38799,88,0,-4168,-3489,8.8,3578.4,2,0,1,26,20,46,0,0,0,0,39952,11.6,42288,120,0,4168,3489,12.0,3995.2
4850538972,0,45,0,1,35,20,83,0,0,0,1,40762,11.4,43970,117,0,6048,6033,11.7,4076.2,0,3,0,20,35,34,0,0,0,0,34714,10.8,37937,87,0,-6048,-6033,8.7,3471.4
4849936332,0,38,0,1,21,16,46,0,0,0,0,37023,11.2,41320,108,0,2500,4456,10.8,3702.3,0,9,0,16,21,46,0,0,0,0,34523,10.4,36864,118,0,-2500,-4456,11.8,3452.3
4849913941,1,0,0,0,22,18,56,0,0,0,1,35928,11.0,39590,87,0,-816,218,8.7,3592.8,0,0,1,18,22,38,0,0,0,0,36744,11.0,39372,106,0,816,-218,10.6,3674.4
4849682054,1,0,0,0,24,38,55,0,0,0,1,37360,11.0,40726,90,0,-4953,-5864,9.0,3736.0,7,0,1,38,24,75,0,0,0,0,42313,12.0,46590,111,0,4953,5864,11.1,4231.3
4849672747,0,0,0,1,25,30,65,0,0,0,1,38831,11.0,40294,120,0,262,-2028,12.0,3883.1,0,0,0,30,25,67,0,0,0,0,38569,11.4,42322,112,0,-262,2028,11.2,3856.9
4849657940,1,0,0,0,19,16,49,0,0,0,1,38380,11.0,41253,113,0,5405,7418,11.3,3838.0,0,0,1,16,19,46,0,0,0,0,32975,10.0,33835,77,0,-5405,-7418,7.7,3297.5
4848770169,1,10,0,1,10,2,10,0,0,0,0,17635,7.0,17916,191,48,2513,888,23.9,1763.5,64,0,0,2,10,1,0,0,0,0,15122,6.6,17028,178,52,-2513,-888,23.0,1512.2
4848750975,1,9,0,1,7,4,8,0,0,0,0,15780,6.6,17149,175,60,386,136,23.5,1578.0,12,0,0,4,7,4,1,1,0,0,15394,6.8,17013,179,44,-386,-136,22.3,1539.4
4848711680,0,7,1,0,1,8,0,0,0,0,0,13463,6.8,17406,179,56,-5470,-2682,23.5,1346.3,6,0,1,8,1,5,0,0,0,0,18933,7.6,20088,207,68,5470,2682,27.5,1893.3
4856666409,1,19,0,1,22,18,22,0,0,0,0,68312,12.8,61000,6,0,30730,25000,0.6,6831.2,33,0,0,12,16,10,0,0,0,0,37582,7.6,36000,0,0,-30730,-25000,0.0,3758.2
4856663902,1,0,0,1,25,13,23,0,0,0,0,64475,12.0,55000,1,0,29025,22000,0.1,6447.5,8,0,0,4,16,7,0,0,0,0,35450,7.2,33000,0,0,-29025,-22000,0.0,3545.0
4855570271,1,0,0,0,22,21,61,0,0,0,0,35294,10.8,38813,106,0,-1335,-1804,10.6,3529.4,80,0,1,21,22,46,0,0,0,0,36629,11.0,40617,116,0,1335,1804,11.6,3662.9
4855273943,0,17,0,0,31,39,80,0,0,0,1,38665,11.6,43143,104,0,-2514,-2367,10.4,3866.5,0,2,1,39,31,106,0,0,0,0,41179,11.8,45510,123,0,2514,2367,12.3,4117.9
