gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4812159823,1,48,2,0,8,7,7,1,1,0,0,15876,6.8,16805,161,48,17,1020,20.9,1587.6,12,0,1,7,8,4,0,0,0,0,15859,6.6,15785,153,44,-17,-1020,19.7,1585.9
4812115700,0,15,2,0,3,10,6,0,0,0,0,14023,6.6,16413,160,64,-4014,-2287,22.4,1402.3,13,1,1,10,3,5,0,0,0,0,18037,7.2,18700,212,48,4014,2287,26.0,1803.7
4812089556,0,12,3,1,4,10,4,0,0,0,0,14585,6.4,15648,120,40,-3737,-2346,16.0,1458.5,14,2,0,10,4,8,0,0,0,0,18322,7.0,17994,182,56,3737,2346,23.8,1832.2
4812049589,0,17,1,0,4,3,3,0,0,0,0,15730,7.0,18618,192,59,956,1849,25.1,1573.0,14,1,1,3,4,1,0,0,0,0,14774,6.6,16769,201,40,-956,-1849,24.1,1477.4
4812009081,1,13,0,1,7,7,12,0,0,0,0,18046,6.8,18403,164,52,705,771,21.6,1804.6,12,0,0,7,7,8,1,1,0,0,17341,6.8,17632,198,56,-705,-771,25.4,1734.1
4853975110,0,26,0,0,2,1,0,0,0,0,0,13774,6.8,18121,193,52,-89,-32,24.5,1377.4,8,0,1,1,2,0,0,0,0,0,13863,6.8,18153,206,60,89,32,26.6,1386.3
4850615084,0,92,0,1,1,0,2,0,0,0,0,14234,7.2,18658,192,55,844,894,24.7,1423.4,15,16,0,0,1,0,0,0,0,0,13390,6.8,17764,194,44,-844,-894,23.8,1339.0
4849753141,1,8,1,1,4,3,2,0,0,0,0,15247,7.2,18173,180,36,1638,2055,21.6,1524.7,71,0,0,3,4,2,0,0,0,0,13609,6.6,16118,159,44,-1638,-2055,20.3,1360.9
4848620468,1,17,1,1,18,6,10,0,0,0,0,19488,7.0,18894,164,56,3836,2029,22.0,1948.8,10,0,0,6,18,1,0,0,0,0,15652,6.6,16865,169,48,-3836,-2029,21.7,1565.2
4847881157,0,20,2,1,6,4,8,0,0,0,0,15292,6.8,17184,191,44,796,-1130,23.5,1529.2,12,1,0,4,6,3,0,0,0,0,14496,7.0,18314,186,52,-796,1130,23.8,1449.6
