gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4854122582,0,19,0,0,1,3,1,0,0,0,0,13591,6.8,17542,206,44,-2341,-725,25.0,1359.1,9,1,1,3,1,2,0,0,0,0,15932,7.0,18267,244,49,2341,725,29.3,1593.2
4854072450,1,12,1,1,3,0,2,0,0,0,0,15707,6.8,18132,220,39,2466,554,25.9,1570.7,11,0,0,0,3,0,0,0,0,0,13241,6.6,17578,193,64,-2466,-554,25.7,1324.1
4854017958,1,27,1,0,2,3,3,0,0,0,0,14827,7.0,17984,215,67,-188,95,28.2,1482.7,12,16,1,3,2,3,0,0,0,0,15015,6.8,17889,218,44,188,-95,26.2,1501.5
4852814588,1,138,0,0,5,3,5,1,1,0,0,15447,7.2,18532,181,52,1007,611,23.3,1544.7,11,1,1,3,5,1,0,0,0,0,14440,7.0,17921,181,48,-1007,-611,22.9,1444.0
4852781001,0,12,3,0,3,5,4,0,0,0,0,14843,6.6,16858,187,48,-1796,-1704,23.5,1484.3,15,0,1,5,3,3,1,1,0,0,16639,7.2,18562,192,60,1796,1704,25.2,1663.9
4852728995,1,10,0,0,3,2,0,0,0,0,0,13844,6.6,17469,167,40,-1190,-280,20.7,1384.4,11,0,1,2,3,1,0,0,0,0,15034,6.8,17749,195,52,1190,280,24.7,1503.4
4852451041,0,13,3,0,4,15,6,1,0,1,1,15649,6.4,15044,137,52,-6122,-5064,18.9,1564.9,22,4,1,15,4,11,1,1,0,0,21771,7.2,20108,221,65,6122,5064,28.6,2177.1
4852043409,1,36,1,1,5,2,4,0,0,0,0,17371,7.0,18101,210,53,3473,982,26.3,1737.1,35,2,0,2,5,3,0,0,0,0,13898,6.8,17119,171,46,-3473,-982,21.7,1389.8
4852011885,0,10,0,1,4,7,5,0,0,0,0,14023,6.2,15588,155,38,-1974,-2900,19.3,1402.3,11,2,0,7,4,3,1,1,0,0,15997,7.2,18488,215,48,1974,2900,26.3,1599.7
4851966170,0,23,3,1,14,3,10,0,0,0,0,19449,7.0,18436,180,56,5391,2969,23.6,1944.9,14,1,0,3,14,3,1,1,0,0,14058,6.4,15467,166,52,-5391,-2969,21.8,1405.8
4851891281,1,182,14,1,4,2,6,0,0,0,0,15192,6.8,17790,184,56,839,543,24.0,1519.2,35,4,0,2,4,3,0,0,0,0,14353,6.6,17247,212,48,-839,-543,26.0,1435.3
4851834101,0,13,0,1,8,4,8,0,0,0,0,16779,6.8,18203,204,64,1354,1801,26.8,1677.9,12,0,0,4,8,4,0,0,0,0,15425,6.6,16402,163,44,-1354,-1801,20.7,1542.5
4850570502,0,55,2,1,4,2,2,0,0,0,0,15558,7.0,19214,211,68,636,2043,27.9,1555.8,17,3,0,2,4,2,0,0,0,0,14922,6.8,17171,212,52,-636,-2043,26.4,1492.2
4850555227,0,255,1,0,1,9,1,1,1,0,0,14701,7.0,18627,237,48,-2811,-620,28.5,1470.1,15,1,1,9,1,8,0,0,0,0,17512,7.2,19247,183,68,2811,620,25.1,1751.2
4841449717,0,156,0,0,23,35,68,0,0,0,0,37128,10.8,40161,84,0,-3925,-4090,8.4,3712.8,0,0,1,35,23,98,0,0,0,0,41053,11.6,44251,108,0,3925,4090,10.8,4105.3
4841431377,1,0,0,0,22,21,46,0,0,0,0,38534,11.4,40427,112,0,1298,-119,11.2,3853.4,0,0,1,21,22,44,0,0,0,0,37236,10.8,40546,112,0,-1298,119,11.2,3723.6
4841398945,0,0,0,0,16,23,50,0,0,0,0,36391,10.8,37410,94,0,830,-2732,9.4,3639.1,0,0,1,23,16,75,0,0,0,0,35561,11.0,40142,66,0,-830,2732,6.6,3556.1
4841359935,1,50,0,0,18,25,31,0,0,0,1,35315,11.0,39320,111,0,-2377,-3389,11.1,3531.5,34,3,1,25,18,59,0,0,0,0,37692,11.4,42709,107,0,2377,3389,10.7,3769.2
4841322479,0,0,0,1,28,30,72,0,0,0,1,38362,11.0,40023,86,0,-1215,-3620,8.6,3836.2,0,0,0,30,28,82,0,0,0,0,39577,11.4,43643,101,0,1215,3620,10.1,3957.7
4841305954,0,18,0,0,18,33,35,0,0,0,1,34427,10.4,36822,98,0,-6088,-8378,9.8,3442.7,63,4,1,33,18,83,0,0,0,0,40515,12.0,45200,110,0,6088,8378,11.0,4051.5
4847183912,1,13,2,1,4,4,1,0,0,0,0,16527,7.4,19268,245,68,626,469,31.3,1652.7,19,0,0,4,4,5,0,0,0,0,15901,6.8,18799,203,72,-626,-469,27.5,1590.1
4844151852,0,14,3,0,2,6,1,0,0,0,0,15510,7.0,18162,177,58,-2439,-766,23.5,1551.0,9,3,1,6,2,5,1,1,0,0,17949,7.0,18928,213,49,2439,766,26.2,1794.9
4844111032,1,13,1,0,6,7,6,1,1,0,0,16545,6.6,16904,208,50,268,1261,25.8,1654.5,10,1,1,7,6,10,0,0,0,0,16277,6.2,15643,173,45,-268,-1261,21.8,1627.7
4844054385,0,12,0,1,11,5,15,0,0,0,0,18029,7.0,17713,213,44,1452,-292,25.7,1802.9,13,1,0,5,11,3,0,0,0,0,16577,7.0,18005,203,60,-1452,292,26.3,1657.7
4843982317,1,13,1,1,6,5,6,0,0,0,0,17165,6.8,17867,220,47,1050,-68,26.7,1716.5,18,1,0,5,6,4,1,1,0,0,16115,6.8,17935,201,44,-1050,68,24.5,1611.5
4817966461,0,11,3,1,10,7,10,0,0,0,0,19597,7.0,18346,227,56,2428,1393,28.3,1959.7,13,1,0,7,10,8,1,1,0,0,17169,6.6,16953,189,56,-2428,-1393,24.5,1716.9
4806890757,0,11,1,0,5,7,3,0,0,0,0,15900,6.6,17253,239,40,-1682,-793,27.9,1590.0,11,1,1,7,5,9,1,1,0,0,17582,6.8,18046,221,60,1682,793,28.1,1758.2
4806869235,0,11,0,0,1,4,1,0,0,0,0,13724,6.6,16696,190,48,-2415,-1381,23.8,1372.4,7,1,1,4,1,4,0,0,0,0,16139,6.8,18077,205,50,2415,1381,25.5,1613.9
4775277922,0,16,0,0,3,3,1,0,0,0,0,16036,7.0,18550,209,72,-31,292,28.1,1603.6,14,2,1,3,3,2,1,1,0,0,16067,7.0,18258,210,56,31,-292,26.6,1606.7
4775221210,1,10,0,1,5,4,6,0,0,0,0,18108,7.2,19054,203,64,2941,828,26.7,1810.8,14,0,0,4,5,2,0,0,0,0,15167,6.8,18226,210,52,-2941,-828,26.2,1516.7
4775156104,0,22,2,0,2,3,3,0,0,0,0,16454,7.2,18447,205,56,610,537,26.1,1645.4,9,0,1,3,2,2,0,0,0,0,15844,7.0,17910,218,52,-610,-537,27.0,1584.4
4752045881,0,0,0,1,33,22,95,0,0,0,0,38547,11.6,43888,119,0,1019,3016,11.9,3854.7,0,0,0,22,33,59,0,0,0,0,37528,11.2,40872,108,0,-1019,-3016,10.8,3752.8
4752017478,1,0,4,0,22,22,51,0,0,0,0,37535,11.2,41560,102,0,929,2281,10.2,3753.5,17,0,1,22,22,63,0,0,0,0,36606,11.0,39279,116,0,-929,-2281,11.6,3660.6
4751987397,1,0,0,0,17,19,43,0,0,0,0,34917,10.8,36882,114,0,869,-181,11.4,3491.7,0,0,1,19,17,47,0,0,0,0,34048,10.4,37063,99,0,-869,181,9.9,3404.8
4719168531,1,13,0,1,4,2,5,1,1,0,0,17218,6.8,17934,253,53,2327,221,30.6,1721.8,11,0,0,2,4,2,0,0,0,0,14891,7.0,17713,208,40,-2327,-221,24.8,1489.1
4719117188,1,74,0,1,8,5,9,0,0,0,0,18605,7.0,18753,213,68,2756,1444,28.1,1860.5,119,0,0,4,7,4,1,1,0,0,15849,6.8,17309,230,44,-2756,-1444,27.4,1584.9
4719067608,0,13,1,0,2,10,2,0,0,0,0,15012,6.6,17474,209,47,-5058,-1249,25.6,1501.2,19,2,1,10,2,14,1,0,1,0,20070,7.0,18723,245,53,5058,1249,29.8,2007.0
4719011516,1,13,1,1,6,6,3,0,0,0,0,17150,7.0,18159,232,36,356,316,26.8,1715.0,19,2,0,6,6,4,0,0,0,0,16794,7.0,17843,213,52,-356,-316,26.5,1679.4
4701767485,1,14,1,1,5,3,5,0,0,0,0,18077,7.2,19413,241,64,3487,798,30.5,1807.7,12,0,0,3,5,3,0,0,0,0,14590,7.0,18615,189,63,-3487,-798,25.2,1459.0
4678578866,0,11,2,0,3,9,3,0,0,0,0,14860,6.6,16704,205,35,-3998,-2830,24.0,1486.0,22,1,1,9,3,9,1,1,0,0,18858,7.2,19534,219,51,3998,2830,27.0,1885.8
4857145697,1,11,1,1,3,1,2,0,0,0,0,16998,7.4,19732,248,68,2045,1056,31.6,1699.8,15,2,0,1,3,0,1,1,0,0,14953,7.0,18676,238,76,-2045,-1056,31.4,1495.3
4856122994,1,14,3,1,4,4,5,1,1,0,0,17310,7.2,18680,211,56,1632,1048,26.7,1731.0,14,3,0,4,4,3,1,0,1,0,15678,6.8,17632,208,48,-1632,-1048,25.6,1567.8
4856014356,0,14,3,1,3,6,2,0,0,0,0,16272,6.8,17426,214,54,-103,-1013,26.8,1627.2,13,2,0,6,3,1,1,1,0,0,16375,7.0,18439,215,73,103,1013,28.8,1637.5
4855440347,1,17,6,1,7,7,7,1,1,0,0,16909,6.4,16629,184,64,-862,-419,24.8,1690.9,18,1,0,7,7,8,0,0,0,0,17771,6.6,17048,211,48,862,419,25.9,1777.1
4855410986,1,16,2,1,5,4,1,0,0,0,0,15639,7.0,18593,213,56,-144,351,26.9,1563.9,13,3,0,4,5,6,0,0,0,0,15783,7.0,18242,207,68,144,-351,27.5,1578.3
4855373808,0,20,2,1,2,4,0,0,0,0,0,14025,6.8,17333,216,52,-2057,33,26.8,1402.5,19,1,0,4,2,5,0,0,0,0,16082,6.8,17300,207,52,2057,-33,25.9,1608.2
4853705579,1,0,0,0,13,22,16,0,0,0,0,62299,12.0,55000,0,0,23699,22000,0.0,6229.9,0,0,1,17,8,13,0,0,0,0,38600,7.2,33000,2,0,-23699,-22000,0.2,3860.0
4853691008,1,7,0,0,13,17,14,0,0,0,0,46300,10.0,47500,0,0,17400,19000,0.0,4630.0,10,0,1,13,9,8,0,0,0,0,28900,6.0,28500,0,0,-17400,-19000,0.0,2890.0
4848575716,1,12,0,1,8,7,8,0,0,0,0,16327,6.6,16686,177,44,656,375,22.1,1632.7,11,1,0,7,8,8,0,0,0,0,15671,6.4,16311,159,44,-656,-375,20.3,1567.1
4848549845,1,12,1,0,4,4,4,0,0,0,0,15952,6.8,17390,197,42,10,-1147,23.9,1595.2,14,1,1,4,4,3,0,0,0,0,15942,7.0,18537,187,66,-10,1147,25.3,1594.2
4847471679,1,0,0,1,29,17,79,0,0,0,0,37297,11.6,43419,108,0,1817,4129,10.8,3729.7,20,0,0,17,29,49,0,0,0,0,35480,10.8,39290,107,0,-1817,-4129,10.7,3548.0
4846682830,0,1,0,0,21,29,62,0,0,0,1,36581,11.2,40957,96,0,-689,-491,9.6,3658.1,27,0,1,29,21,64,0,0,0,0,37270,11.2,41448,86,0,689,491,8.6,3727.0
