gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4855021854,1,0,0,1,17,10,43,0,0,0,0,34535,10.4,36633,107,0,2324,2618,10.7,3453.5,0,0,0,10,17,24,0,0,0,0,32211,10.0,34015,96,0,-2324,-2618,9.6,3221.1
4854961958,1,3,32,1,13,20,36,0,0,0,1,34139,10.4,36339,75,0,-1974,-2197,7.5,3413.9,29,1,0,20,13,52,0,0,0,0,36113,10.6,38536,121,0,1974,2197,12.1,3611.3
4853447799,1,9,0,0,18,19,15,0,0,0,0,51525,12.0,55000,1,0,19900,22000,0.1,5152.5,0,0,1,10,9,13,0,0,0,0,31625,7.2,33000,1,0,-19900,-22000,0.1,3162.5
4853429979,1,0,0,0,15,19,24,0,0,0,0,47350,10.0,47500,0,0,17927,19000,0.0,4735.0,0,0,1,17,13,8,0,0,0,0,29423,6.0,28500,0,0,-17927,-19000,0.0,2942.3
4853420816,1,3,0,1,20,17,26,0,0,0,0,63420,12.0,55000,0,0,26870,22000,0.0,6342.0,0,0,0,12,15,8,0,0,0,0,36550,7.2,33000,0,0,-26870,-22000,0.0,3655.0
4852386581,1,64,0,1,5,4,4,0,0,0,0,16572,6.8,17536,202,52,239,-1527,25.4,1657.2,9,2,0,4,5,2,0,0,0,0,16333,7.2,19063,193,52,-239,1527,24.5,1633.3
4852360591,1,10,1,0,7,3,6,0,0,0,0,16151,6.4,16671,157,56,2092,917,21.3,1615.1,14,1,1,3,7,1,0,0,0,0,14059,6.4,15754,167,52,-2092,-917,21.9,1405.9
4852225652,1,23,1,0,4,4,3,0,0,0,0,14653,6.8,18238,170,44,517,2178,21.4,1465.3,11,1,1,4,4,5,0,0,0,0,14136,6.4,16060,175,32,-517,-2178,20.7,1413.6
4852211579,0,12,1,1,3,2,2,0,0,0,0,13762,6.6,16063,163,48,-669,-1709,21.1,1376.2,10,1,0,2,3,3,1,1,0,0,14431,6.8,17772,207,48,669,1709,25.5,1443.1
4850621796,1,25,4,1,5,5,4,0,0,0,0,16889,7.0,18422,258,44,1151,335,30.2,1688.9,20,2,0,5,5,8,1,1,0,0,15738,7.0,18087,209,55,-1151,-335,26.4,1573.8
4850598696,0,15,1,0,6,7,4,0,0,0,0,15509,6.4,15536,178,44,-1791,-1561,22.2,1550.9,18,2,1,7,6,12,1,1,0,0,17300,6.8,17097,177,50,1791,1561,22.7,1730.0
4850573082,0,13,2,0,8,4,5,0,0,0,0,17076,6.6,17228,211,40,2425,763,25.1,1707.6,9,4,1,4,8,3,1,1,0,0,14651,6.4,16465,174,60,-2425,-763,23.4,1465.1
4850549836,0,13,1,1,7,4,5,1,0,1,0,17260,7.0,18473,220,56,1835,1168,27.6,1726.0,15,1,0,4,7,1,1,1,0,0,15425,6.8,17305,170,48,-1835,-1168,21.8,1542.5
4850515770,0,66,0,0,3,4,3,0,0,0,0,13764,6.8,16624,174,52,-2298,-1682,22.6,1376.4,10,1,1,4,3,3,1,1,0,0,16062,6.8,18306,183,60,2298,1682,24.3,1606.2
4850482508,0,209,1,0,6,5,5,1,1,0,0,15923,6.8,18216,197,56,-290,0,25.3,1592.3,66,1,1,5,6,2,0,0,0,0,16213,7.0,18216,198,60,290,0,25.8,1621.3
4850334543,1,13,0,1,3,1,2,0,0,0,0,14946,7.0,18535,188,60,1298,166,24.8,1494.6,10,0,0,1,3,1,0,0,0,0,13648,7.0,18369,202,52,-1298,-166,25.4,1364.8
4849708514,1,11,0,0,3,10,2,0,0,0,0,14586,6.6,17099,175,50,-4622,-1800,22.5,1458.6,16,2,1,10,3,10,0,0,0,0,19208,7.2,18899,215,60,4622,1800,27.5,1920.8
4849671536,1,15,0,1,3,7,2,0,0,0,0,15884,7.0,18456,196,64,-1922,-1515,26.0,1588.4,6,0,0,7,3,1,1,1,0,0,17806,7.2,19971,221,64,1922,1515,28.5,1780.6
4849466955,1,9,2,0,8,9,10,0,0,0,0,17253,7.2,18057,176,52,538,302,22.8,1725.3,16,1,1,8,7,8,1,1,0,0,16715,6.8,17755,205,64,-538,-302,26.9,1671.5
4849439639,1,10,1,1,8,6,5,0,0,0,0,17774,7.2,18864,186,48,1173,1305,23.4,1777.4,157,2,0,6,8,6,1,1,0,0,16601,6.8,17559,183,52,-1173,-1305,23.5,1660.1
4857098320,1,135,1,0,7,10,10,1,1,0,0,16840,6.4,15844,167,51,-1512,-477,21.8,1684.0,14,5,1,10,7,16,0,0,0,0,18352,6.8,16321,199,44,1512,477,24.3,1835.2
4853334604,1,15,0,1,8,3,4,1,1,0,0,17921,7.0,18688,192,60,2005,1222,25.2,1792.1,8,2,0,3,8,4,0,0,0,0,15916,6.8,17466,160,44,-2005,-1222,20.4,1591.6
4851058443,1,38,0,0,7,2,7,0,0,0,0,15935,6.8,17558,195,39,1297,516,23.4,1593.5,17,0,1,2,7,1,1,1,0,0,14638,6.8,17042,177,68,-1297,-516,24.5,1463.8
4850662245,0,11,0,0,5,9,5,0,0,0,0,14851,6.4,16449,145,36,-3070,-1885,18.1,1485.1,264,0,1,9,5,9,1,1,0,0,17921,7.0,18334,204,52,3070,1885,25.6,1792.1
4849759067,1,1,0,0,29,23,82,0,0,0,1,40904,11.6,43716,109,0,3092,3805,10.9,4090.4,37,0,1,23,29,57,0,0,0,0,37812,10.8,39911,96,0,-3092,-3805,9.6,3781.2
4849076707,1,18,0,0,3,7,2,1,1,0,0,14382,6.2,15242,152,44,-1218,-1525,19.6,1438.2,11,0,1,7,3,6,1,0,1,0,15600,6.4,16767,164,59,1218,1525,22.3,1560.0
4848717258,0,12,0,0,2,7,1,0,0,0,0,15200,6.6,17039,157,56,-500,-1143,21.3,1520.0,11,2,1,7,2,3,0,0,0,0,15700,6.8,18182,177,52,500,1143,22.9,1570.0
4848681486,1,23,2,0,5,5,4,1,1,0,0,16079,7.0,17945,221,52,-33,1431,27.3,1607.9,14,1,1,5,5,3,0,0,0,0,16112,6.6,16514,207,52,33,-1431,25.9,1611.2
4846109441,0,0,0,0,25,26,47,0,0,0,1,38150,11.4,41282,93,0,534,-1787,9.3,3815.0,0,0,1,26,25,63,0,0,0,0,37616,11.6,43069,104,0,-534,1787,10.4,3761.6
4841958447,1,10,2,1,7,3,4,0,0,0,0,15522,6.6,16560,132,56,1068,1060,18.8,1552.2,11,2,0,3,7,4,0,0,0,0,14454,6.4,15500,143,44,-1068,-1060,18.7,1445.4
4841942153,1,12,1,1,8,7,8,0,0,0,0,17099,6.6,16958,186,60,415,28,24.6,1709.9,14,1,0,7,8,3,0,0,0,0,16684,6.8,16930,180,40,-415,-28,22.0,1668.4
4837120333,1,12,1,1,9,4,7,1,1,0,0,17507,6.8,17209,165,54,2307,1192,21.9,1750.7,13,1,0,4,9,5,0,0,0,0,15200,6.6,16017,171,36,-2307,-1192,20.7,1520.0
4836147677,1,12,1,1,5,4,2,0,0,0,0,15298,6.8,18455,157,49,-901,1305,20.6,1529.8,14,1,0,4,5,3,0,0,0,0,16199,6.6,17150,207,54,901,-1305,26.1,1619.9
4836130077,1,8,0,1,5,2,3,0,0,0,0,15842,7.0,18398,204,64,2175,575,26.8,1584.2,6,0,0,2,5,1,1,1,0,0,13667,6.8,17823,195,44,-2175,-575,23.9,1366.7
4835133609,0,13,2,0,2,7,2,0,0,0,0,12700,6.2,15167,145,48,-4305,-3325,19.3,1270.0,15,3,1,7,2,3,0,0,0,0,17005,7.0,18492,219,44,4305,3325,26.3,1700.5
4834737198,0,18,3,0,4,8,2,1,1,0,0,16619,7.0,18197,189,64,-136,601,25.3,1661.9,15,3,1,8,4,2,0,0,0,0,16755,6.6,17596,180,54,136,-601,23.4,1675.5
4834685336,0,132,1,0,2,7,1,0,0,0,0,14217,6.4,15908,188,46,-3069,-1546,23.4,1421.7,11,0,1,7,2,5,0,0,0,0,17286,6.8,17454,218,52,3069,1546,27.0,1728.6
4834298779,1,13,2,1,9,7,5,0,0,0,0,17920,6.8,16437,176,44,1084,575,22.0,1792.0,14,0,0,7,9,4,1,1,0,0,16836,6.2,15862,153,39,-1084,-575,19.2,1683.6
4834245286,1,13,2,0,4,6,5,0,0,0,0,16257,6.6,16583,163,52,-637,-699,21.5,1625.7,17,3,1,6,4,6,1,1,0,0,16894,6.6,17282,187,48,637,699,23.5,1689.4
4834203410,1,72,3,1,10,4,9,0,0,0,0,18528,6.8,18416,179,52,3923,1740,23.1,1852.8,15,1,0,4,10,0,1,0,1,0,14605,6.6,16676,189,52,-3923,-1740,24.1,1460.5
4826355343,1,1,0,0,31,30,64,0,0,0,1,39335,11.8,44884,91,0,260,3342,9.1,3933.5,0,0,1,30,31,83,0,0,0,0,39075,11.2,41542,100,0,-260,-3342,10.0,3907.5
4826334331,1,0,0,0,20,25,53,0,0,0,0,35026,11.2,39563,91,0,-2028,-3381,9.1,3502.6,0,0,1,25,20,72,0,0,0,0,37054,11.4,42944,105,0,2028,3381,10.5,3705.4
4826316519,1,0,0,1,26,21,47,0,0,0,1,38372,11.0,40904,120,0,2928,1968,12.0,3837.2,0,0,0,21,26,55,0,0,0,0,35444,10.6,38936,104,0,-2928,-1968,10.4,3544.4
4826301207,0,12,0,0,5,14,6,0,0,0,0,25860,10.0,32591,77,63,-1910,-2087,14.0,2586.0,14,0,1,14,5,16,0,0,0,0,27770,10.4,34678,70,51,1910,2087,12.1,2777.0
4821000735,1,26,0,0,4,12,6,0,0,0,0,28256,10.2,33726,72,55,-1063,-3454,12.7,2825.6,17,0,1,12,4,17,0,0,0,0,29319,10.6,37180,76,60,1063,3454,13.6,2931.9
4820967434,0,10,0,0,8,20,16,0,0,0,0,32510,10.2,34792,95,51,-4845,-9160,14.6,3251.0,12,0,1,20,8,37,0,0,0,0,37355,11.4,43952,100,63,4845,9160,16.3,3735.5
4820568181,1,16,1,0,2,2,2,0,0,0,0,15609,6.6,17584,235,65,916,76,30.0,1560.9,12,1,1,2,2,2,0,0,0,0,14693,6.6,17508,187,62,-916,-76,24.9,1469.3
4819604820,1,0,0,0,26,25,83,0,0,0,1,38008,11.0,39484,116,0,1896,667,11.6,3800.8,3,0,1,25,26,63,0,0,0,0,36112,10.8,38817,112,0,-1896,-667,11.2,3611.2
4819588403,1,11,1,0,15,15,28,0,0,0,0,35046,11.2,40032,92,55,1448,2524,14.7,3504.6,16,0,1,15,15,28,0,0,0,0,33598,10.6,37508,75,52,-1448,-2524,12.7,3359.8
4819573106,1,12,0,0,16,9,33,0,0,0,1,34668,11.2,41539,88,64,4070,4289,15.2,3466.8,16,0,1,9,16,21,0,0,0,0,30598,10.6,37250,74,64,-4070,-4289,13.8,3059.8
4819021924,0,26,0,1,11,14,29,0,0,0,1,32944,10.8,37820,98,47,-4373,-5656,14.5,3294.4,10,0,0,14,11,26,0,0,0,0,37317,11.6,43476,124,59,4373,5656,18.3,3731.7
4813064931,0,0,0,0,22,26,59,0,0,0,0,35775,11.0,39250,96,0,-2169,-3648,9.6,3577.5,0,0,1,26,22,49,0,0,0,0,37944,11.6,42898,123,0,2169,3648,12.3,3794.4
4787542309,1,0,2,0,19,25,51,0,0,0,0,35889,11.0,40287,113,0,-1078,-591,11.3,3588.9,23,0,1,25,19,66,0,0,0,0,36967,11.2,40878,111,0,1078,591,11.1,3696.7
4786574494,0,0,0,1,14,21,41,0,0,0,0,34382,10.4,36868,89,0,-1308,-2386,8.9,3438.2,0,0,0,21,14,53,0,0,0,0,35690,11.0,39254,92,0,1308,2386,9.2,3569.0
4775100566,1,0,0,0,19,20,46,0,0,0,0,34099,10.6,37981,97,0,-2372,26,9.7,3409.9,0,0,1,20,19,55,0,0,0,0,36471,10.8,37955,113,0,2372,-26,11.3,3647.1
4775042677,1,0,0,0,17,25,36,0,0,0,0,35124,10.4,37313,103,0,-1957,-5682,10.3,3512.4,0,0,1,25,17,52,0,0,0,0,37081,11.4,42995,101,0,1957,5682,10.1,3708.1
4775022368,1,14,0,0,32,28,65,0,0,0,1,39136,11.8,44213,114,0,475,-1601,11.4,3913.6,0,0,1,28,32,52,0,0,0,0,38661,12.2,45814,99,0,-475,1601,9.9,3866.1
4774932868,1,0,0,1,40,22,104,0,0,0,1,43525,12.0,46402,105,0,6533,6955,10.5,4352.5,0,0,0,22,40,57,0,0,0,0,36992,11.0,39447,61,0,-6533,-6955,6.1,3699.2
4774915917,1,1,2,1,24,28,71,0,0,0,2,38111,11.4,41304,107,0,258,1120,10.7,3811.1,55,0,0,28,24,75,0,0,0,0,37853,11.0,40184,96,0,-258,-1120,9.6,3785.3
4774893577,1,16,0,1,21,18,52,0,0,0,1,36050,11.2,40167,122,0,-107,2502,12.2,3605.0,0,4,0,18,21,41,0,0,0,0,36157,10.6,37665,119,0,107,-2502,11.9,3615.7
4856995735,1,2,1,1,12,22,18,0,0,0,0,47510,10.0,47500,3,0,17960,19000,0.3,4751.0,32,2,0,17,7,13,0,0,0,0,29550,6.0,28500,10,0,-17960,-19000,1.0,2955.0
