gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4849334592,1,0,0,1,25,23,68,0,0,0,0,38264,11.2,40128,114,0,-16,-1320,11.4,3826.4,15,0,0,23,25,60,0,0,0,0,38280,11.2,41448,107,0,16,1320,10.7,3828.0
4849331290,0,1,0,0,25,25,54,0,0,0,1,37519,10.8,40186,80,0,-1218,-2947,8.0,3751.9,46,0,1,25,25,60,0,0,0,0,38737,11.6,43133,112,0,1218,2947,11.2,3873.7
4849323750,1,0,1,1,19,22,51,0,0,0,1,34420,10.4,36402,108,0,-2065,-1735,10.8,3442.0,37,0,0,22,19,59,0,0,0,0,36485,10.8,38137,113,0,2065,1735,11.3,3648.5
4849307349,0,1,0,0,20,24,48,0,0,0,1,36070,10.8,39775,86,0,-3895,-2058,8.6,3607.0,29,0,1,24,20,47,0,0,0,0,39965,11.2,41833,112,0,3895,2058,11.2,3996.5
4848124994,1,15,0,1,8,0,4,1,0,1,1,18428,7.2,19476,213,56,4931,2293,26.9,1842.8,12,1,0,0,8,0,0,0,0,0,13497,6.6,17183,188,44,-4931,-2293,23.2,1349.7
4848067718,1,10,0,1,5,8,5,0,0,0,0,16000,6.8,17216,205,44,-1590,-827,24.9,1600.0,76,0,0,8,5,9,0,0,0,0,17590,7.0,18043,231,44,1590,827,27.5,1759.0
4847195980,0,12,1,0,0,3,0,0,0,0,0,13339,6.8,17439,192,40,-2063,-1378,23.2,1333.9,19,0,1,3,0,1,1,1,0,0,15402,7.2,18817,213,60,2063,1378,27.3,1540.2
4847168023,0,13,1,0,5,5,4,1,1,0,0,16954,7.4,19750,244,64,421,1646,30.8,1695.4,10,1,1,5,5,4,0,0,0,0,16533,6.8,18104,229,52,-421,-1646,28.1,1653.3
4847135471,0,10,1,1,8,4,7,0,0,0,0,17413,6.8,17844,202,52,2538,810,25.4,1741.3,64,2,0,4,8,5,1,1,0,0,14875,6.8,17034,185,52,-2538,-810,23.7,1487.5
4847090445,1,12,0,1,3,1,2,0,0,0,0,15738,7.2,18654,205,52,1219,345,25.7,1573.8,13,0,0,1,3,0,0,0,0,0,14519,7.0,18309,224,64,-1219,-345,28.8,1451.9
